energy, number of points
24.078533,1191.000000
32.706306,1191.000000
27.200968,1191.000000
15.972460,1191.000000
16.054356,1191.000000
7.667729,1191.000000
13.983076,1191.000000
10.463821,1191.000000
13.131916,1191.000000
11.195840,1191.000000
20.979139,1191.000000
17.838768,1057.000000
20.335960,1057.000000
10.154262,1057.000000
16.430149,1057.000000
11.550796,1057.000000
8.462376,1057.000000
18.659847,1057.000000
7.512069,1057.000000
9.806787,1057.000000
13.851851,1057.000000
9.667652,1057.000000
17.384327,1057.000000
18.108412,931.000000
13.414101,931.000000
17.508268,931.000000
10.712107,931.000000
7.940066,931.000000
12.583948,931.000000
12.492152,931.000000
19.916113,931.000000
8.737539,931.000000
5.720391,931.000000
7.200557,931.000000
20.470602,931.000000
27.720108,931.000000
11.061870,931.000000
24.235825,813.000000
11.518485,813.000000
19.567148,813.000000
9.717839,813.000000
14.827044,813.000000
12.579937,813.000000
7.636441,813.000000
13.090220,813.000000
8.703195,813.000000
5.911889,813.000000
7.036776,813.000000
5.797867,813.000000
2.674811,813.000000
15.455343,813.000000
4.928393,813.000000
5.445331,813.000000
5.218517,703.000000
10.156698,703.000000
8.554489,703.000000
6.403446,703.000000
10.286041,703.000000
6.268348,703.000000
13.098776,703.000000
3.377231,703.000000
6.693664,703.000000
8.056196,703.000000
3.618191,703.000000
4.085139,703.000000
6.834588,703.000000
6.332959,703.000000
5.405721,703.000000
11.880885,703.000000
8.276610,703.000000
4.363994,703.000000
16.310480,703.000000
14.730855,601.000000
4.101440,601.000000
12.511943,601.000000
5.723457,601.000000
3.224794,601.000000
7.495595,601.000000
5.316117,601.000000
7.359581,601.000000
11.000046,601.000000
3.147655,601.000000
11.304054,601.000000
9.277020,601.000000
6.968874,601.000000
13.081001,601.000000
2.788417,601.000000
5.258990,601.000000
2.726980,601.000000
10.302482,601.000000
2.618423,601.000000
5.394669,601.000000
5.647700,601.000000
2.697562,507.000000
5.746610,507.000000
3.439415,507.000000
10.222223,507.000000
4.909946,507.000000
2.693772,507.000000
7.900110,507.000000
2.627649,507.000000
7.155903,507.000000
1.526402,507.000000
9.578382,507.000000
4.094651,507.000000
1.951024,507.000000
3.698490,507.000000
4.896640,507.000000
3.383257,507.000000
4.067460,507.000000
3.666736,507.000000
3.610858,507.000000
1.745374,507.000000
3.927787,507.000000
4.952485,507.000000
2.684328,507.000000
2.248541,507.000000
6.757754,507.000000
3.128791,421.000000
6.402556,421.000000
8.784887,421.000000
4.790910,421.000000
1.931398,421.000000
2.426783,421.000000
5.955419,421.000000
4.850348,421.000000
2.189009,421.000000
5.938250,421.000000
2.323336,421.000000
3.076843,421.000000
4.243721,421.000000
2.224233,421.000000
3.681954,421.000000
1.945634,421.000000
2.722864,421.000000
4.109309,421.000000
3.879515,421.000000
3.975797,421.000000
3.334163,421.000000
3.788692,421.000000
2.544211,421.000000
2.823023,421.000000
1.585323,421.000000
1.605184,421.000000
1.557202,421.000000
3.150613,421.000000
0.821175,421.000000
3.787724,421.000000
3.232511,421.000000
6.170743,343.000000
